customer,contiguous days
d4d1d484343b532f4c3a3336ff88d071c7f4792a3f45ce65b4bebcbe41cf8526,[5]
31d0276dd8ec655ff78e7e67420448eb266cae4a2438eb4471efb1d923a18bb4,[8]
1afe78179baed0954fcc13d6aa59a554f3e976b079bdd37de0277ee0bfe94661,"[6, 1]"
14f6fee4fa256ae54332da0a621a9bdc4ce1c1194a1b1fa716325a74ee3de17f,[8]
5306536130b67386ed71836af2020cd05c9279d013e6ceb4651df300d7a3d4e0,[6]
f68f389123916bbdb1387815aeac8d3571c298aa17f77a2053eae187f6903092,[8]
cdd0045664c7dc982ef90dbb2fbabb536ef81f2dde7e1d81573b5a15ab7ea36e,[8]
98235abccd12db28777ce0e4d3058921417b60a5da3a90d2e8ffdcc95c6cb397,[6]
96aacf17431cc4c8e4252959567e89099417e4171f715cdba4996ad1e1aa0af8,[8]
6ca510d1d20c2c7b7b3e229f9098dda1cd83c992fbd917c1b35b5747474c7b9a,[8]
ae4be7e9fb3851ace44e4c5069dcaf89b273cff94efcacfaaba9a3ea76407b53,[8]
38fc1fbfab60cc8da59f8b0fac8c5fe5b99fc3ead40e929abb2d363ebf8c1b79,[2]
12e844b7630fdadf373acd35318f6224ecfe61b264abc5cbadb42343bb64fd33,[2]
e41415622e9a58c9bdeeeaad2deabd014c91be8164942825dd2eb96a2b507dec,[8]
a8bf6b5d0324a4c4941f6b479a18d75bacf8b5f6b3880c263ab1b548ac1945b4,[8]
26809b7d317f5ca1f6ff9038405d82585cac6b65ebf9f2aaf80498cb51e48cd1,[8]
1cabb369f84109efbbf082dd398ced37b3477586742bae5c9990a16475a50f7e,[8]
4560905b33f73746c88c5e7e44b2f8bcd162245567f5c63048da7bc29bc7a5d7,"[1, 4, 1]"
55260b89fe2bb99b8768d2153a9a4dec75f73eb4f985be42ea6088c44dc052c9,[8]
8e50af4745c66466763b3be480aea309e0e7b2ff3ccfa7f28b6a3f9b2388ff6c,[8]
831ace4b4f53b002edb331e7b1996b3391bc39be81a2f6d60b4a6affea3854ce,[7]
35e212a630a020b856c199dc07724caec74f944838b84bf4d1f2eb919fd63465,[8]
16d1d268beca931e1a38218f5d6efc686f0c128cc0f0b71e759cad4344309abb,[8]
dc0debe572b7e0b11f5758c060205f1d811dad70d700a04689c304e17d0cf0ab,[8]
6654d1ea243c2ce324b512774eea42f76e98869804c97dc99f392a03941ebafd,[8]
225d9d3592eeb5e59d0d4c63c15c77457515c3ce150304b4b4bd6d1d24a25383,[8]
9aa9d25d489787a116769b85007ee40dc3f14dcfaadd925fe7c53568de654c0d,[8]
ad0ca107b58e3330c0016c94bb18a0fb121bdee2bfdb22c167fa6245dbf1faec,[8]
d8de64b175204ddc83cb9101243929d774f11ef1cedc7e99451d5001dd90ec92,[8]
e296146656d2c4e38e509da7f7dd66b3802bbadc2404cfa60437cf4c10917b82,[1]
60387cbae26cb1dde890f5972ca37be84080380abe2283125c7ded1c1d2d4995,[8]
ebaade1e906246e5e546f2a9adc4e9b2747b079efe09e3e9bf34a91fc588803b,[6]
3f09a43eafac270cf550103ff91c5d4ea3103723de4cfa41aa75640a5143f150,[8]
36c937e7e03b9265aa4172cc2aec831d336c98369664e67171622a648ac2351f,[8]
